Sales
94595.2726
89195.54245
96195.19265
89595.52246
98795.06272
100994.9528
96395.18265
97795.11269
91595.42252
94195.29259
93595.32257
90995.4525
91195.44251
87795.61241
90995.4525
86595.67238
95795.21263
86595.67238
101394.9328
93795.31258
86795.66239
97195.14267
97395.13268
94195.29259
85795.71236
75396.23207
92795.36255
87395.6324
90795.4625
80995.95223
77996.10215
92195.39254
103345.1121
87795.61241
95795.21263
97395.13268
